annee,value
1960,1570  
1961,1700
1962,1880
1963,2050
1964,2220              
1965,2370
1966,2570
1967,2820
1968,3010
1969,3220
1970,3630
1971,4650
1972,5760
1973,6630
1974,7040
1975,7700
1976,8670
1977,10610
1978,12830
1979,12910
1980,11760
1981,10200
1982,9590
1983,9540
1984,11030
1985,14060
1986,18000
1987,18960
1988,20050
1989,20880
1990,23250
1991,23030
1992,23780
1993,25120
1994,26410
1995,26220
1996,25110
1997,24710
1998,24270
1999,23080
2000,22330
2001,25130
2002,30420
2003,34850
2004,36760
2005,38900
2006,41940
2007,42390
2008,42380
2009,42800
2010,41850

